dataElement,period,categoryOptionCombo
r4zbW3owX9n,2024Oct,HllvX50cXC0
KssDaTsGWnS,2023Oct,C8E2J67vSKJ
KssDaTsGWnS,2023Oct,p37WTaS0qLA
KssDaTsGWnS,2023Oct,DWZgJTKGiia
KssDaTsGWnS,2023Oct,EEsbQYZ3xOL
KssDaTsGWnS,2023Oct,R9InFSboXtR
KssDaTsGWnS,2023Oct,UWh9ZYF98Iy
KssDaTsGWnS,2023Oct,sAMgBm0yL1n
KssDaTsGWnS,2023Oct,OQ87whoenrg
KssDaTsGWnS,2023Oct,jtXsyfmyURY
KssDaTsGWnS,2023Oct,IBuKIWJmOp9
KssDaTsGWnS,2023Oct,kvAWUzl6RFt
KssDaTsGWnS,2023Oct,ZKobUVrvlkO
KssDaTsGWnS,2023Oct,fIguGW4YFJ3
KssDaTsGWnS,2023Oct,MDIBMxbuwR3
iwSejvD8cXl,2023Oct,EK5V8gEHYPH
iwSejvD8cXl,2023Oct,c0nenJ9EKQz
iwSejvD8cXl,2023Oct,jNtU64I1RaG
iwSejvD8cXl,2023Oct,S8DmkDGvfKA
iwSejvD8cXl,2023Oct,RLGOV7MCVrF
iwSejvD8cXl,2023Oct,SGNvThVISKr
iwSejvD8cXl,2023Oct,DeBA55gXcy3
iwSejvD8cXl,2023Oct,iJuMQQ1wnUf
iwSejvD8cXl,2023Oct,CeuDnHicKrF
iwSejvD8cXl,2023Oct,G5xBaxUTA1Q
iwSejvD8cXl,2023Oct,SJyG6PfeF6l
iwSejvD8cXl,2023Oct,IsCSXOSWFSn
iwSejvD8cXl,2023Oct,JgmjEkK0toj
iwSejvD8cXl,2023Oct,LOtNQ2NFIgT
lJtpR5byqps,2023Oct,C8E2J67vSKJ
lJtpR5byqps,2023Oct,p37WTaS0qLA
lJtpR5byqps,2023Oct,DWZgJTKGiia
lJtpR5byqps,2023Oct,EEsbQYZ3xOL
lJtpR5byqps,2023Oct,R9InFSboXtR
lJtpR5byqps,2023Oct,UWh9ZYF98Iy
lJtpR5byqps,2023Oct,sAMgBm0yL1n
lJtpR5byqps,2023Oct,OQ87whoenrg
lJtpR5byqps,2023Oct,jtXsyfmyURY
lJtpR5byqps,2023Oct,IBuKIWJmOp9
lJtpR5byqps,2023Oct,kvAWUzl6RFt
lJtpR5byqps,2023Oct,ZKobUVrvlkO
lJtpR5byqps,2023Oct,fIguGW4YFJ3
lJtpR5byqps,2023Oct,MDIBMxbuwR3
nF19GOjcnoD,2023Oct,EK5V8gEHYPH
nF19GOjcnoD,2023Oct,c0nenJ9EKQz
nF19GOjcnoD,2023Oct,jNtU64I1RaG
nF19GOjcnoD,2023Oct,S8DmkDGvfKA
nF19GOjcnoD,2023Oct,RLGOV7MCVrF
nF19GOjcnoD,2023Oct,SGNvThVISKr
nF19GOjcnoD,2023Oct,DeBA55gXcy3
nF19GOjcnoD,2023Oct,iJuMQQ1wnUf
nF19GOjcnoD,2023Oct,CeuDnHicKrF
nF19GOjcnoD,2023Oct,G5xBaxUTA1Q
nF19GOjcnoD,2023Oct,SJyG6PfeF6l
nF19GOjcnoD,2023Oct,IsCSXOSWFSn
nF19GOjcnoD,2023Oct,JgmjEkK0toj
nF19GOjcnoD,2023Oct,LOtNQ2NFIgT
