sheet_name,indicatorCode,dataset,validAges,validSexes,validKPs,typeOptions
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,<01,Female,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,01-04,Female,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,05-09,Female,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,10-14,Female,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,15-19,Female,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,20-24,Female,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,25-29,Female,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,30-34,Female,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,35-39,Female,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,40-44,Female,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,45-49,Female,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,50+,Female,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,<01,Male,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,01-04,Male,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,05-09,Male,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,10-14,Male,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,15-19,Male,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,20-24,Male,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,25-29,Male,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,30-34,Male,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,35-39,Male,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,40-44,Male,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,45-49,Male,,
Epi Cascade I,POP_EST.NA.Age/Sex.20T,IMPATT,50+,Male,,
Epi Cascade I,PLHIV.NA.Age/Sex/HIVStatus.20T,IMPATT,<01,Female,,
Epi Cascade I,PLHIV.NA.Age/Sex/HIVStatus.20T,IMPATT,01-04,Female,,
Epi Cascade I,PLHIV.NA.Age/Sex/HIVStatus.20T,IMPATT,05-09,Female,,
Epi Cascade I,PLHIV.NA.Age/Sex/HIVStatus.20T,IMPATT,10-14,Female,,
Epi Cascade I,PLHIV.NA.Age/Sex/HIVStatus.20T,IMPATT,15-19,Female,,
Epi Cascade I,PLHIV.NA.Age/Sex/HIVStatus.20T,IMPATT,20-24,Female,,
