sheet_name,indicatorCode,typeOptions,dataelementuid,dataset,validAges,validSexes,validKPs,categoryoptioncombouid
CXCA,CXCA_SCRN.N.Age/Sex/HIVStatus.20T,DSD,hfR9r70Fk99,MER,25-29,Female,,bRvIkMjZ1jm
CXCA,CXCA_SCRN.N.Age/Sex/HIVStatus.20T,DSD,hfR9r70Fk99,MER,30-34,Female,,qZIQc8r8jfO
CXCA,CXCA_SCRN.N.Age/Sex/HIVStatus.20T,DSD,hfR9r70Fk99,MER,35-39,Female,,MOilrKBIYU3
CXCA,CXCA_SCRN.N.Age/Sex/HIVStatus.20T,DSD,hfR9r70Fk99,MER,40-44,Female,,ArRidY0sHkk
CXCA,CXCA_SCRN.N.Age/Sex/HIVStatus.20T,DSD,hfR9r70Fk99,MER,45-49,Female,,RGr7QRtlrAk
Epi Cascade II,DIAGNOSED_SUBNAT.N.Age/Sex/HIVStatus.20T,,nF19GOjcnoD,SUBNAT,<15,Female,,wIv7t5fSIlK
Epi Cascade II,DIAGNOSED_SUBNAT.N.Age/Sex/HIVStatus.20T,,nF19GOjcnoD,SUBNAT,<15,Male,,GhywTqKHQNM
Epi Cascade II,DIAGNOSED_SUBNAT.N.Age/Sex/HIVStatus.20T,,nF19GOjcnoD,SUBNAT,15+,Female,,R6XPf8j0tYt
Epi Cascade II,DIAGNOSED_SUBNAT.N.Age/Sex/HIVStatus.20T,,nF19GOjcnoD,SUBNAT,15+,Male,,ZnMtvRMKMWh
GEND,GEND_GBV.N.ViolenceServiceType.20T.physEmot,DSD,N4sS65QUOP3,MER,,,,rslp7ddiBzy
GEND,GEND_GBV.N.ViolenceServiceType.20T.postRape,DSD,N4sS65QUOP3,MER,,,,Cieg8r0FOGJ
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,<01,Female,,Pv51tDz8wHc
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,<01,Male,,sGE1IjFYNjF
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,01-04,Female,,Pv51tDz8wHc
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,01-04,Male,,sGE1IjFYNjF
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,05-09,Female,,Pv51tDz8wHc
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,05-09,Male,,sGE1IjFYNjF
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,10-14,Female,,Pv51tDz8wHc
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,10-14,Male,,sGE1IjFYNjF
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,15-19,Female,,NxWS31FH6DC
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,15-19,Male,,aXiCuDLkhT1
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,20-24,Female,,NxWS31FH6DC
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,20-24,Male,,aXiCuDLkhT1
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,25-29,Female,,NxWS31FH6DC
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,25-29,Male,,aXiCuDLkhT1
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,30-34,Female,,NxWS31FH6DC
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,30-34,Male,,aXiCuDLkhT1
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,35-39,Female,,NxWS31FH6DC
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,35-39,Male,,aXiCuDLkhT1
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,40-44,Female,,NxWS31FH6DC
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,40-44,Male,,aXiCuDLkhT1
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,45-49,Female,,NxWS31FH6DC
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,45-49,Male,,aXiCuDLkhT1
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,50+,Female,,NxWS31FH6DC
Epi Cascade I,HIV_PREV.NA.Age/Sex/HIVStatus.20T,,lJtpR5byqps,IMPATT,50+,Male,,aXiCuDLkhT1
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,01-04,Female,,zRdpU5xlOQI
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,01-04,Male,,fu8H9OdUyZ6
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,05-09,Female,,XqbMOMJhdoo
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,05-09,Male,,WUOsioCfTH1
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,10-14,Female,,tNnfZGycqoK
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,10-14,Male,,FsaFnYgYYiE
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,15-19,Female,,HTuFkqNl46u
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,15-19,Male,,EsEgz70ex5M
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,20-24,Female,,XDgqQlbNOma
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,20-24,Male,,GcAEOo6pgjG
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,25-29,Female,,fN5EhNea5na
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,25-29,Male,,O4M73r7CEs1
HTS,HTS_INDEX_COM.N.Age/Sex/Result.20T.NewNeg,DSD,zjWvbsJM43i,MER,30-34,Female,,GJBPjJZBrRn
