"psnu_uid","psnu_name","level","uidlevel1","level1name","uidlevel2","level2name","uidlevel3","level3name","uidlevel4","level4name","uidlevel5","level5name","uidlevel6","level6name"
"gGqaAXuUGpb","Bobirwa District",5,"ybg3MO3hcf4","Global","KSkooYTy8FB","Africa","l1KFEXKI4Dg","Botswana","dBanTQZVvtG","Central District","gGqaAXuUGpb","Bobirwa District","",""
"p5JLtcOw9iv","Boteti District",5,"ybg3MO3hcf4","Global","KSkooYTy8FB","Africa","l1KFEXKI4Dg","Botswana","dBanTQZVvtG","Central District","p5JLtcOw9iv","Boteti District","",""
"iY69BUSqcnC","Mahalapye District",5,"ybg3MO3hcf4","Global","KSkooYTy8FB","Africa","l1KFEXKI4Dg","Botswana","dBanTQZVvtG","Central District","iY69BUSqcnC","Mahalapye District","",""
"TcLMNlsgbcz","Palapye District",5,"ybg3MO3hcf4","Global","KSkooYTy8FB","Africa","l1KFEXKI4Dg","Botswana","dBanTQZVvtG","Central District","TcLMNlsgbcz","Palapye District","",""
"qUdeJw9Q0Vk","Selibe Phikwe District",5,"ybg3MO3hcf4","Global","KSkooYTy8FB","Africa","l1KFEXKI4Dg","Botswana","dBanTQZVvtG","Central District","qUdeJw9Q0Vk","Selibe Phikwe District","",""
"YmeyoDakwFX","Serowe District",5,"ybg3MO3hcf4","Global","KSkooYTy8FB","Africa","l1KFEXKI4Dg","Botswana","dBanTQZVvtG","Central District","YmeyoDakwFX","Serowe District","",""
"gchw5PMi4N2","Tutume District",5,"ybg3MO3hcf4","Global","KSkooYTy8FB","Africa","l1KFEXKI4Dg","Botswana","dBanTQZVvtG","Central District","gchw5PMi4N2","Tutume District","",""
"e9Ze74PEe99","Chobe District",5,"ybg3MO3hcf4","Global","KSkooYTy8FB","Africa","l1KFEXKI4Dg","Botswana","ML4czwDtK10","Chobe District","e9Ze74PEe99","Chobe District","",""
"v3v0gu2Gtol","Charleshill District",5,"ybg3MO3hcf4","Global","KSkooYTy8FB","Africa","l1KFEXKI4Dg","Botswana","pvsGhTskezZ","Ghanzi District","v3v0gu2Gtol","Charleshill District","",""
"saOJtBcENzM","Gantsi District",5,"ybg3MO3hcf4","Global","KSkooYTy8FB","Africa","l1KFEXKI4Dg","Botswana","pvsGhTskezZ","Ghanzi District","saOJtBcENzM","Gantsi District","",""
"oGXMBBGIRJl","Kgalagadi North District",5,"ybg3MO3hcf4","Global","KSkooYTy8FB","Africa","l1KFEXKI4Dg","Botswana","TNWnoYr2nga","Kgalagadi District","oGXMBBGIRJl","Kgalagadi North District","",""
"KrgFtpUJ20E","Kgalagadi South District",5,"ybg3MO3hcf4","Global","KSkooYTy8FB","Africa","l1KFEXKI4Dg","Botswana","TNWnoYr2nga","Kgalagadi District","KrgFtpUJ20E","Kgalagadi South District","",""
"yNcvm7JYBfi","Kgatleng District",5,"ybg3MO3hcf4","Global","KSkooYTy8FB","Africa","l1KFEXKI4Dg","Botswana","HQWVsxPWw8B","Kgatleng District","yNcvm7JYBfi","Kgatleng District","",""
